#########---------Sample of first 100 network flow records from CICIDS2017----------#########

Flow ID	 Source IP	 Source Port	 Destination IP	 Destination Port	 Protocol	 Timestamp	 Flow Duration	 Total Fwd Packets	 Total Backward Packets	Total Length of Fwd Packets	 Total Length of Bwd Packets	 Fwd Packet Length Max	 Fwd Packet Length Min	 Fwd Packet Length Mean	 Fwd Packet Length Std	Bwd Packet Length Max	 Bwd Packet Length Min	 Bwd Packet Length Mean	 Bwd Packet Length Std	Flow Bytes/s	 Flow Packets/s	 Flow IAT Mean	 Flow IAT Std	 Flow IAT Max	 Flow IAT Min	Fwd IAT Total	 Fwd IAT Mean	 Fwd IAT Std	 Fwd IAT Max	 Fwd IAT Min	Bwd IAT Total	 Bwd IAT Mean	 Bwd IAT Std	 Bwd IAT Max	 Bwd IAT Min	Fwd PSH Flags	 Bwd PSH Flags	 Fwd URG Flags	 Bwd URG Flags	 Fwd Header Length	 Bwd Header Length	Fwd Packets/s	 Bwd Packets/s	 Min Packet Length	 Max Packet Length	 Packet Length Mean	 Packet Length Std	 Packet Length Variance	FIN Flag Count	 SYN Flag Count	 RST Flag Count	 PSH Flag Count	 ACK Flag Count	 URG Flag Count	 CWE Flag Count	 ECE Flag Count	 Down/Up Ratio	 Average Packet Size	 Avg Fwd Segment Size	 Avg Bwd Segment Size	 Fwd Header Length	Fwd Avg Bytes/Bulk	 Fwd Avg Packets/Bulk	 Fwd Avg Bulk Rate	 Bwd Avg Bytes/Bulk	 Bwd Avg Packets/Bulk	Bwd Avg Bulk Rate	Subflow Fwd Packets	 Subflow Fwd Bytes	 Subflow Bwd Packets	 Subflow Bwd Bytes	Init_Win_bytes_forward	 Init_Win_bytes_backward	 act_data_pkt_fwd	 min_seg_size_forward	Active Mean	 Active Std	 Active Max	 Active Min	Idle Mean	 Idle Std	 Idle Max	 Idle Min	 Label
192.168.10.14-192.168.10.50-53235-52320-6	192.168.10.50	52320	192.168.10.14	53235	6	07/07/2017 01:00	94	1	2	6	12	6	6	6	0	6	6	6	0	191489.3617	31914.89362	47	63.63961031	92	2	0	0	0	0	0	2	2	0	2	2	0	0	0	0	20	40	10638.29787	21276.59574	6	6	6	0	0	0	0	0	0	1	1	0	0	2	8	6	6	20	0	0	0	0	0	0	1	6	2	12	389	256	0	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.14-192.168.10.50-53234-21-6	192.168.10.14	53234	192.168.10.50	21	6	07/07/2017 01:00	58	1	2	6	12	6	6	6	0	6	6	6	0	310344.8276	51724.13793	29	26.87005769	48	10	0	0	0	0	0	48	48	0	48	48	0	0	0	0	20	40	17241.37931	34482.75862	6	6	6	0	0	0	0	0	0	1	1	0	0	2	8	6	6	20	0	0	0	0	0	0	1	6	2	12	255	229	0	20	0	0	0	0	0	0	0	0	BENIGN
162.213.33.50-192.168.10.51-443-59109-6	192.168.10.51	59109	162.213.33.50	443	6	07/07/2017 01:00	4687117	10	10	703	3950	267	0	70.3	100.477803	2896	0	395	900.5946184	992.7211119	4.26701531	246690.3684	473140.4892	1828364	9	3944554	438283.7778	661697.6185	1924949	153	3590962	398995.7778	588368.7787	1828364	9	0	0	0	0	336	328	2.133507655	2.133507655	0	2896	221.5714286	631.2367679	398459.8571	0	0	0	1	0	0	0	0	1	232.65	70.3	395	336	0	0	0	0	0	0	10	703	10	3950	29200	252	4	32	0	0	0	0	0	0	0	0	BENIGN
192.168.10.17-206.75.89.101-123-123-17	192.168.10.17	123	206.75.89.101	123	17	07/07/2017 01:00	86068	1	1	48	48	48	48	48	0	48	48	48	0	1115.397128	23.23744016	86068	0	86068	86068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	11.61872008	11.61872008	48	48	48	0	0	0	0	0	0	0	0	0	0	1	72	48	48	32	0	0	0	0	0	0	1	48	1	48	-1	-1	0	32	0	0	0	0	0	0	0	0	BENIGN
162.213.33.50-192.168.10.51-443-59109-6	192.168.10.51	59109	162.213.33.50	443	6	07/07/2017 01:00	94972	1	1	0	0	0	0	0	0	0	0	0	0	0	21.05883839	94972	0	94972	94972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	10.5294192	10.5294192	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	32	0	0	0	0	0	0	1	0	1	0	319	252	0	32	0	0	0	0	0	0	0	0	BENIGN
192.168.10.1-192.168.10.3-53-61036-17	192.168.10.3	61036	192.168.10.1	53	17	07/07/2017 01:00	30465	1	1	45	61	45	45	45	0	61	61	61	0	3479.402593	65.64910553	30465	0	30465	30465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	32.82455277	32.82455277	45	61	50.33333333	9.237604307	85.33333333	0	0	0	0	0	0	0	0	1	75.5	45	61	20	0	0	0	0	0	0	1	45	1	61	-1	-1	0	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.15-53-65309-17	192.168.10.15	65309	192.168.10.3	53	17	07/07/2017 01:00	30911	4	2	136	100	34	34	34	0	50	50	50	0	7634.822555	194.1056582	6182.2	11879.22622	27243	3	27249	9083	15727.02133	27243	3	4	4	0	4	4	0	0	0	0	80	40	129.4037721	64.70188606	34	50	38.57142857	7.807200584	60.95238095	0	0	0	0	0	0	0	0	0	45	34	50	80	0	0	0	0	0	0	4	136	2	100	-1	-1	3	20	0	0	0	0	0	0	0	0	BENIGN
162.213.33.50-192.168.10.51-443-59110-6	192.168.10.51	59110	162.213.33.50	443	6	07/07/2017 01:00	1066855	9	11	703	3950	267	0	78.11111111	103.3022803	1448	0	359.0909091	569.9183195	4361.417437	18.74669004	56150.26316	74229.19898	268146	4	787122	98390.25	118438.9808	363327	188	971437	97143.7	92935.49402	268146	4	0	0	0	0	296	360	8.436010517	10.31067952	0	1448	221.5714286	434.4990876	188789.4571	0	0	0	1	0	0	0	0	1	232.65	78.11111111	359.0909091	296	0	0	0	0	0	0	9	703	11	3950	29200	252	4	32	0	0	0	0	0	0	0	0	BENIGN
171.66.97.126-192.168.10.17-123-123-17	192.168.10.17	123	171.66.97.126	123	17	07/07/2017 01:00	86016	1	1	48	48	48	48	48	0	48	48	48	0	1116.071429	23.2514881	86016	0	86016	86016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	11.62574405	11.62574405	48	48	48	0	0	0	0	0	0	0	0	0	0	1	72	48	48	32	0	0	0	0	0	0	1	48	1	48	-1	-1	0	32	0	0	0	0	0	0	0	0	BENIGN
162.213.33.50-192.168.10.51-443-59110-6	192.168.10.51	59110	162.213.33.50	443	6	07/07/2017 01:00	94848	1	1	0	0	0	0	0	0	0	0	0	0	0	21.08636977	94848	0	94848	94848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	10.54318489	10.54318489	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	32	0	0	0	0	0	0	1	0	1	0	304	252	0	32	0	0	0	0	0	0	0	0	BENIGN
8.0.6.4-8.6.0.1-0-0-0	8.6.0.1	0	8.0.6.4	0	0	07/07/2017 01:00	118012435	141	0	0	0	0	0	0	0	0	0	0	0	0	1.194789346	842945.9643	2822328.438	2.00E+07	0	1.18E+08	842945.9643	2822328.438	2.00E+07	0	0	0	0	0	0	0	0	0	0	0	0	1.194789346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	-1	-1	0	0	3291857.571	4036105.291	9795862	66	9420803.7	5219271.767	2.00E+07	5046092	BENIGN
144.217.164.10-192.168.10.12-123-123-17	192.168.10.12	123	144.217.164.10	123	17	07/07/2017 01:00	16250	1	1	48	48	48	48	48	0	48	48	48	0	5907.692308	123.0769231	16250	0	16250	16250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	61.53846154	61.53846154	48	48	48	0	0	0	0	0	0	0	0	0	0	1	72	48	48	32	0	0	0	0	0	0	1	48	1	48	-1	-1	0	32	0	0	0	0	0	0	0	0	BENIGN
192.168.10.17-206.108.0.131-123-123-17	192.168.10.17	123	206.108.0.131	123	17	07/07/2017 01:00	22410	1	1	48	48	48	48	48	0	48	48	48	0	4283.801874	89.24587238	22410	0	22410	22410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	44.62293619	44.62293619	48	48	48	0	0	0	0	0	0	0	0	0	0	1	72	48	48	20	0	0	0	0	0	0	1	48	1	48	-1	-1	0	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.25-389-52396-6	192.168.10.25	52396	192.168.10.3	389	6	07/07/2017 01:00	55068559	24	13	3558	7472	1304	0	148.25	369.4866298	2910	0	574.7692308	871.7304776	200.2957804	0.671889744	1529682.194	9174561.493	5.50E+07	3	5.51E+07	2394285.174	1.15E+07	5.50E+07	3	5.51E+07	4589031.083	1.59E+07	5.50E+07	3	0	0	0	0	792	432	0.435820374	0.236069369	0	2910	290.2631579	612.4713643	375121.1721	0	0	0	1	0	0	0	0	0	298.1081081	148.25	574.7692308	792	0	0	0	0	0	0	24	3558	13	7472	65535	2081	10	32	20222	0	20222	20222	5.50E+07	0	5.50E+07	5.50E+07	BENIGN
192.168.10.3-192.168.10.25-3268-52395-6	192.168.10.25	52395	192.168.10.3	3268	6	07/07/2017 01:00	55091905	24	13	3204	7030	1305	0	133.5	364.3575645	2910	0	540.7692308	876.0522391	185.7623184	0.671605021	1530330.694	9177727.069	5.51E+07	2	5.51E+07	2395300.217	1.15E+07	5.51E+07	3	5.51E+07	4590978.083	1.59E+07	5.51E+07	2	0	0	0	0	792	432	0.435635689	0.235969332	0	2910	269.3157895	609.3011551	371247.8976	0	0	0	1	0	0	0	0	0	276.5945946	133.5	540.7692308	792	0	0	0	0	0	0	24	3204	13	7030	65535	2081	10	32	24456	0	24456	24456	5.51E+07	0	5.51E+07	5.51E+07	BENIGN
192.168.10.25-224.0.0.251-5353-5353-17	192.168.10.25	5353	224.0.0.251	5353	17	07/07/2017 01:00	1002497	26	0	1274	0	49	49	49	0	0	0	0	0	1270.826746	25.93523971	40099.88	200492.1083	1002462	1	1002497	40099.88	200492.1083	1002462	1	0	0	0	0	0	0	0	0	0	832	0	25.93523971	0	49	49	49	0	0	0	0	0	0	0	0	0	0	0	50.88461538	49	0	832	0	0	0	0	0	0	26	1274	0	0	-1	-1	25	32	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.25-53-54967-17	192.168.10.25	54967	192.168.10.3	53	17	07/07/2017 01:00	179	2	2	88	150	44	44	44	0	75	75	75	0	1329608.939	22346.36872	59.66666667	97.28480525	172	3	4	4	0	4	4	3	3	0	3	3	0	0	0	0	40	40	11173.18436	11173.18436	44	75	56.4	16.97939928	288.3	0	0	0	0	0	0	0	0	1	70.5	44	75	40	0	0	0	0	0	0	2	88	2	150	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.25-53-58804-17	192.168.10.25	58804	192.168.10.3	53	17	07/07/2017 01:00	188	2	2	116	284	58	58	58	0	142	142	142	0	2127659.574	21276.59574	62.66666667	67.21111019	136	4	4	4	0	4	4	48	48	0	48	48	0	0	0	0	40	40	10638.29787	10638.29787	58	142	91.6	46.00869483	2116.8	0	0	0	0	0	0	0	0	1	114.5	58	142	40	0	0	0	0	0	0	2	116	2	284	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.25-53-65249-17	192.168.10.25	65249	192.168.10.3	53	17	07/07/2017 01:00	151	2	2	118	286	59	59	59	0	143	143	143	0	2675496.689	26490.06623	50.33333333	80.25168742	143	4	4	4	0	4	4	4	4	0	4	4	0	0	0	0	40	40	13245.03311	13245.03311	59	143	92.6	46.00869483	2116.8	0	0	0	0	0	0	0	0	1	115.75	59	143	40	0	0	0	0	0	0	2	118	2	286	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.25-53-49411-17	192.168.10.25	49411	192.168.10.3	53	17	07/07/2017 01:00	189	2	2	116	284	58	58	58	0	142	142	142	0	2116402.116	21164.02116	63	67.75691847	137	4	4	4	0	4	4	48	48	0	48	48	0	0	0	0	40	40	10582.01058	10582.01058	58	142	91.6	46.00869483	2116.8	0	0	0	0	0	0	0	0	1	114.5	58	142	40	0	0	0	0	0	0	2	116	2	284	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.25-53-55123-17	192.168.10.25	55123	192.168.10.3	53	17	07/07/2017 01:00	149	2	2	118	286	59	59	59	0	143	143	143	0	2711409.396	26845.63758	49.66666667	80.82903769	143	3	3	3	0	3	3	3	3	0	3	3	0	0	0	0	64	64	13422.81879	13422.81879	59	143	92.6	46.00869483	2116.8	0	0	0	0	0	0	0	0	1	115.75	59	143	64	0	0	0	0	0	0	2	118	2	286	-1	-1	1	32	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.25-53-61399-17	192.168.10.25	61399	192.168.10.3	53	17	07/07/2017 01:00	153	2	2	88	210	44	44	44	0	105	105	105	0	1947712.418	26143.79085	51	81.40638796	145	4	4	4	0	4	4	4	4	0	4	4	0	0	0	0	40	40	13071.89542	13071.89542	44	105	68.4	33.41107601	1116.3	0	0	0	0	0	0	0	0	1	85.5	44	105	40	0	0	0	0	0	0	2	88	2	210	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.25-53-53325-17	192.168.10.25	53325	192.168.10.3	53	17	07/07/2017 01:00	159	2	2	90	212	45	45	45	0	106	106	106	0	1899371.069	25157.2327	53	78.93668349	144	3	3	3	0	3	3	12	12	0	12	12	0	0	0	0	40	40	12578.61635	12578.61635	45	106	69.4	33.41107601	1116.3	0	0	0	0	0	0	0	0	1	86.75	45	106	40	0	0	0	0	0	0	2	90	2	212	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.25-53-61792-17	192.168.10.25	61792	192.168.10.3	53	17	07/07/2017 01:00	158	2	2	118	286	59	59	59	0	143	143	143	0	2556962.025	25316.4557	52.66666667	86.02519011	152	3	3	3	0	3	3	3	3	0	3	3	0	0	0	0	40	40	12658.22785	12658.22785	59	143	92.6	46.00869483	2116.8	0	0	0	0	0	0	0	0	1	115.75	59	143	40	0	0	0	0	0	0	2	118	2	286	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.25-53-62743-17	192.168.10.25	62743	192.168.10.3	53	17	07/07/2017 01:00	145	2	2	90	212	45	45	45	0	106	106	106	0	2082758.621	27586.2069	48.33333333	78.51963661	139	3	3	3	0	3	3	3	3	0	3	3	0	0	0	0	40	40	13793.10345	13793.10345	45	106	69.4	33.41107601	1116.3	0	0	0	0	0	0	0	0	1	86.75	45	106	40	0	0	0	0	0	0	2	90	2	212	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.25-53-55043-17	192.168.10.25	55043	192.168.10.3	53	17	07/07/2017 01:00	147	2	2	88	210	44	44	44	0	105	105	105	0	2027210.884	27210.88435	49	78.80989786	140	3	4	4	0	4	4	3	3	0	3	3	0	0	0	0	40	40	13605.44218	13605.44218	44	105	68.4	33.41107601	1116.3	0	0	0	0	0	0	0	0	1	85.5	44	105	40	0	0	0	0	0	0	2	88	2	210	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.25-53-55599-17	192.168.10.25	55599	192.168.10.3	53	17	07/07/2017 01:00	189	2	2	86	142	43	43	43	0	71	71	71	0	1206349.206	21164.02116	63	27.71281292	95	47	47	47	0	47	47	47	47	0	47	47	0	0	0	0	64	64	10582.01058	10582.01058	43	71	54.2	15.33623161	235.2	0	0	0	0	0	0	0	0	1	67.75	43	71	64	0	0	0	0	0	0	2	86	2	142	-1	-1	1	32	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.50-3268-56350-6	192.168.10.50	56350	192.168.10.3	3268	6	07/07/2017 01:00	112794953	32	16	6448	1152	403	0	201.5	204.7242047	72	72	72	0	67.37890125	0.425550955	2399892.617	5801501.851	1.64E+07	3	1.13E+08	3638546.871	6852074.001	1.64E+07	3	1.13E+08	7519638.4	8327421.769	1.64E+07	3	1	0	0	0	1024	512	0.283700637	0.141850318	0	403	163.3265306	178.9317127	32016.55782	0	1	0	0	1	0	0	0	0	166.7291667	201.5	72	1024	0	0	0	0	0	0	32	6448	16	1152	299	2081	15	32	357.1428571	11.39339826	370	338	1.61E+07	500346.1548	1.64E+07	1.54E+07	BENIGN
